antigen,demands,prob,demand_SID
Diphtheria,"[570550200, 619539900, 626455400, 594496900, 595980200, 587103300, 593084700, 587954100, 594707400, 600159000]",0.8,1
Diphtheria,"[678476300, 700631700, 640870500, 924643200, 993847400, 1016063800, 1134250600, 1324424000, 1539742000, 2079213800]",0.13040000000000004,2
Diphtheria,"[620918600, 692768000, 606271100, 732835800, 845039800, 1113162500, 1436410800, 1468808900, 1491895200, 1230387800]",0.06960000000000002,3
HPV,"[18988200, 18779800, 27460000, 72849500, 92670600, 64703800, 42237000, 42368400, 33730500, 35038500]",0.8,1
HPV,"[25915800, 35898000, 40864500, 45102500, 50968700, 57420900, 67212600, 75998100, 81563300, 91060700]",0.11960000000000003,2
HPV,"[29342600, 33502800, 40801900, 46505400, 54064000, 54340300, 65762200, 70075700, 84156800, 81087100]",0.08040000000000003,3
Hepatitis_B,"[312284600, 343008200, 351717800, 334973600, 334455600, 328430100, 332308900, 328200500, 332214900, 335525400]",0.8,1
Hepatitis_B,"[383726500, 344761100, 463437400, 431519900, 328602000, 410730400, 414499900, 434640400, 401903900, 318256100]",0.10640000000000004,2
Hepatitis_B,"[377552000, 341184100, 497556800, 407609300, 439254000, 354464500, 387472900, 403118800, 414873200, 542934000]",0.09360000000000004,3
Hib,"[259536200, 282777100, 287252900, 274027900, 274339400, 270041300, 273119600, 270415600, 273713400, 276715500]",0.8,1
Hib,"[298754600, 307317300, 339907100, 302858500, 343394400, 349279800, 382514000, 351536900, 388090600, 412124000]",0.12640000000000004,2
Hib,"[310169100, 300125300, 339529300, 321928000, 346967000, 403111900, 376961000, 440951400, 396741500, 412036200]",0.07360000000000003,3
IPV,"[522182000, 582182300, 608631800, 590689600, 591743500, 572503000, 130824100, 128516200, 130807300, 132956000]",0.8,1
Measles,"[420097000, 358616900, 394831600, 346093200, 377569100, 407486200, 271512200, 386591100, 290515900, 326808200]",0.8,1
Measles,"[582478700, 453996100, 698993200, 770651100, 623079600, 765863000, 748144400, 848490300, 947175200, 1279780700]",0.11840000000000002,2
Measles,"[416875700, 522539400, 498126600, 464245300, 741427400, 778930200, 989936900, 783034100, 1042003100, 504735600]",0.08160000000000003,3
Mumps,"[26052200, 26626400, 25785400, 25268100, 23536200, 16205400, 18650400, 8909600, 10718500, 12977700]",0.8,1
Mumps,"[39449700, 31019100, 34543900, 35055100, 40253200, 42480500, 59209000, 64653400, 55192100, 56721900]",0.13120000000000004,2
Mumps,"[28366500, 22972400, 37088900, 37689100, 37411400, 43249100, 33986800, 31686500, 50678500, 98301100]",0.06880000000000001,3
PCV,"[160800200, 186996100, 209165500, 205938500, 220998700, 219106600, 222271100, 217335600, 218764600, 220234300]",0.8,1
PCV,"[225412700, 246005700, 278508400, 334075900, 266693700, 387454200, 398393000, 466249200, 527824300, 628001100]",0.10600000000000004,2
PCV,"[234352600, 265419100, 295556800, 261680600, 327204600, 403133800, 436328000, 387059700, 484047100, 442410400]",0.09400000000000004,3
Pertussis,"[320662700, 347414000, 352464600, 335977000, 334855300, 328035800, 331237500, 328308900, 331462200, 334312000]",0.8,1
Pertussis,"[348652500, 343400400, 357098700, 364610400, 371903200, 350002600, 391100900, 414351300, 406106700, 344073500]",0.11920000000000003,2
Pertussis,"[351455800, 355702900, 351247500, 329777800, 383034400, 372939000, 402940000, 381622400, 386116600, 483190500]",0.08080000000000004,3
Polio,"[630914900, 686267500, 684606800, 756840800, 658622300, 754989500, 775470400, 854249900, 891585100, 1023730100]",0.12040000000000002,2
Polio,"[571085200, 617392400, 718924300, 768610600, 727938100, 790818000, 877237000, 923304500, 997637300, 750208600]",0.07960000000000003,3
Rotavirus,"[142479000, 166422100, 173751400, 186328400, 197668300, 205652300, 209552800, 207355600, 209606300, 211802800]",0.8,1
Rotavirus,"[197387500, 215887100, 222696900, 325181600, 326253100, 316963900, 461091600, 601014000, 569674800, 839592500]",0.12920000000000004,2
Rotavirus,"[163416800, 196370800, 256335900, 311213200, 306834400, 508733100, 434291900, 481918800, 725104800, 396770200]",0.07080000000000002,3
Rubella,"[357331300, 254011400, 304621400, 276893800, 291347300, 386542700, 259074600, 385691400, 289592400, 325856600]",0.8,1
Rubella,"[315800700, 332346800, 250961600, 414816600, 479848000, 609340800, 639534200, 659228800, 598639800, 753001000]",0.12120000000000003,2
Rubella,"[358274900, 454835300, 476835200, 554667500, 605923500, 597978100, 696382600, 626567700, 680193900, 1156429400]",0.07880000000000004,3
Tetanus,"[577730200, 626351000, 633278500, 601333100, 598872900, 590040100, 596064300, 590973100, 597764600, 603248400]",0.8,1
Tetanus,"[646234000, 605453300, 653346900, 681975000, 668222000, 716544700, 730964800, 679438400, 777182400, 725100400]",0.11120000000000002,2
Tetanus,"[651511800, 618352000, 627854900, 693231300, 726760200, 708273300, 650862300, 770938900, 654115700, 678589200]",0.08880000000000005,3
