antigen,demands,prob,demand_SID
Diphtheria,"[570550200, 619539900, 626455400, 594496900, 595980200, 587103300, 593084700, 587954100, 594707400, 600159000]",0.8,1
Diphtheria,"[721305600, 607877300, 764516000, 982491000, 987422300, 757674000, 1035638100, 1237728200, 1546474500, 1814942600]",0.05840000000000001,2
Diphtheria,"[647378800, 742510700, 689045800, 881044300, 822821100, 1281798700, 1128053500, 1593513600, 1901076600, 2209600200]",0.06320000000000002,3
Diphtheria,"[628683100, 902179600, 930527900, 784884400, 948846900, 968245400, 1197406100, 1685927300, 1715922200, 804875700]",0.04800000000000002,4
Diphtheria,"[701162500, 752136300, 770118000, 924806500, 1036967400, 1059736600, 1142626600, 1201632600, 661981200, 2816464600]",0.030400000000000007,5
HPV,"[18988200, 18779800, 27460000, 72849500, 92670600, 64703800, 42237000, 42368400, 33730500, 35038500]",0.8,1
HPV,"[29084800, 32704300, 40347600, 46291700, 51390100, 58763900, 65250000, 75108800, 81309300, 90655800]",0.07160000000000002,2
HPV,"[29816400, 33915000, 42553200, 45772400, 54775100, 56551100, 72566600, 70849100, 81312000, 82426500]",0.048800000000000024,3
HPV,"[30047000, 35880400, 40015900, 48665400, 52933300, 61583100, 61330100, 71828400, 71158400, 97715100]",0.035600000000000014,4
HPV,"[28333300, 37169000, 41218500, 47636600, 57445600, 60264600, 67950700, 77239200, 74056200, 82736400]",0.04400000000000002,5
Hepatitis_B,"[312284600, 343008200, 351717800, 334973600, 334455600, 328430100, 332308900, 328200500, 332214900, 335525400]",0.8,1
Hepatitis_B,"[377042200, 391292300, 444910100, 366676900, 430917600, 471673600, 396718600, 415360200, 429893100, 396961400]",0.07040000000000002,2
Hepatitis_B,"[429510600, 414860400, 332028200, 406042400, 415981600, 325713600, 306477700, 425822300, 387285700, 539674500]",0.05680000000000001,3
Hepatitis_B,"[386370700, 349680200, 476757100, 389432900, 422597800, 377179700, 453970400, 519669800, 576826900, 416957000]",0.04400000000000002,4
Hepatitis_B,"[446414800, 430021100, 394503300, 361562200, 365081000, 415087600, 538352200, 218673800, 299858600, 299182300]",0.028800000000000006,5
Hib,"[259536200, 282777100, 287252900, 274027900, 274339400, 270041300, 273119600, 270415600, 273713400, 276715500]",0.8,1
Hib,"[308286600, 315190100, 306568100, 360161400, 325621200, 349473100, 373814800, 410076400, 380680400, 400860200]",0.06320000000000002,2
Hib,"[282097000, 294951100, 307037800, 345568200, 385154800, 356661700, 335398200, 346463200, 389063800, 386288100]",0.04680000000000002,3
Hib,"[303338100, 300029300, 309171200, 325121100, 374328300, 351655500, 362442400, 425451400, 412953800, 449355900]",0.05360000000000001,4
Hib,"[312698100, 330036000, 315317400, 322869200, 319461500, 342058400, 393751700, 348094100, 417040800, 351266100]",0.03640000000000001,5
IPV,"[522182000, 582182300, 608631800, 590689600, 591743500, 572503000, 130824100, 128516200, 130807300, 132956000]",0.8,1
Measles,"[420097000, 358616900, 394831600, 346093200, 377569100, 407486200, 271512200, 386591100, 290515900, 326808200]",0.8,1
Measles,"[366119100, 543550200, 567452200, 772603400, 584439900, 529137600, 744568200, 861299600, 964707000, 1126439100]",0.061600000000000016,2
Measles,"[405839100, 455568900, 681147400, 627650500, 713157900, 652165400, 1018570600, 897244600, 786260000, 483252300]",0.04440000000000002,3
Measles,"[411611500, 528165300, 631294700, 615935500, 812768700, 900786500, 774889600, 842838000, 630096900, 1242553800]",0.054000000000000006,4
Measles,"[417228900, 631721900, 392223000, 661729600, 603206600, 745085800, 598087600, 783790800, 1276545300, 562374400]",0.040000000000000015,5
Mumps,"[26052200, 26626400, 25785400, 25268100, 23536200, 16205400, 18650400, 8909600, 10718500, 12977700]",0.8,1
Mumps,"[26434800, 24319300, 27811700, 44657200, 43736900, 46543400, 49246100, 52944000, 71912300, 67062900]",0.05040000000000003,2
Mumps,"[28215800, 39271900, 26145900, 32142700, 37334400, 35567200, 40523000, 45905700, 22387000, 67095200]",0.053200000000000004,3
Mumps,"[23572700, 22275400, 30824600, 36527000, 29638400, 31874800, 41700300, 48868900, 82418700, 40299500]",0.048400000000000026,4
Mumps,"[21806000, 26058500, 42128400, 38193800, 36105900, 43818000, 42625400, 59170900, 58905700, 92252200]",0.04800000000000002,5
PCV,"[160800200, 186996100, 209165500, 205938500, 220998700, 219106600, 222271100, 217335600, 218764600, 220234300]",0.8,1
PCV,"[221195800, 253552900, 261247200, 324843300, 347242400, 418956200, 388845100, 459944500, 588107100, 620033700]",0.06480000000000001,2
PCV,"[218370800, 277317500, 272161800, 336877000, 303477200, 376405200, 376695800, 408727900, 389361500, 355734900]",0.05360000000000001,3
PCV,"[226540800, 269992000, 305184600, 341442300, 349236700, 379368400, 306376800, 499225000, 291243400, 704392400]",0.048400000000000026,4
PCV,"[236848300, 250640400, 260853400, 317766300, 362084600, 275024500, 491205600, 426762800, 661293600, 308801800]",0.03320000000000001,5
Pertussis,"[320662700, 347414000, 352464600, 335977000, 334855300, 328035800, 331237500, 328308900, 331462200, 334312000]",0.8,1
Pertussis,"[355653600, 362558300, 369758300, 393885100, 373491500, 419828900, 386847700, 370419000, 407083600, 397241700]",0.07080000000000002,2
Pertussis,"[365264100, 352622700, 379948000, 369418000, 369275400, 387313900, 362605700, 431397100, 343086900, 311519200]",0.04280000000000002,3
Pertussis,"[337527900, 312055600, 372110800, 359158800, 349983300, 337556100, 360123600, 400429700, 354562300, 464608800]",0.05360000000000001,4
Pertussis,"[369590100, 328467100, 340351100, 345185900, 349332400, 326665100, 366650300, 370087300, 457327000, 288273600]",0.03280000000000001,5
Polio,"[607676400, 627716800, 676632000, 724051100, 801478300, 800020900, 765648900, 850379200, 863179800, 985648000]",0.08280000000000004,2
Polio,"[707137300, 646793900, 603908300, 654115100, 728496100, 792508000, 858958300, 798171200, 951661100, 637565500]",0.04920000000000002,3
Polio,"[644209200, 624042500, 731534400, 629883100, 767065000, 678422300, 879354700, 841439600, 1035115300, 1185138100]",0.035600000000000014,4
Polio,"[625553300, 597498900, 635230100, 731991900, 663374500, 726560500, 810718300, 853090200, 629981100, 847184000]",0.032400000000000005,5
Rotavirus,"[142479000, 166422100, 173751400, 186328400, 197668300, 205652300, 209552800, 207355600, 209606300, 211802800]",0.8,1
Rotavirus,"[169975100, 233304200, 212495900, 297773700, 395993200, 320744300, 368739200, 631081200, 597492900, 817641900]",0.0524,2
Rotavirus,"[183850400, 228936200, 245704600, 272715200, 295795300, 252508200, 396848000, 625259900, 851783900, 374633400]",0.04920000000000002,3
Rotavirus,"[194576200, 262867300, 214479700, 255207900, 431228300, 386688800, 316347300, 512149200, 689598600, 1164612500]",0.05160000000000001,4
Rotavirus,"[205837200, 206197700, 326023400, 233332500, 213260300, 325345000, 482853200, 388476200, 505916900, 537775400]",0.04680000000000002,5
Rubella,"[357331300, 254011400, 304621400, 276893800, 291347300, 386542700, 259074600, 385691400, 289592400, 325856600]",0.8,1
Rubella,"[310927200, 643065600, 426687800, 525095400, 511615200, 563013400, 715200100, 580609700, 801822400, 805754300]",0.04680000000000002,2
Rubella,"[354665000, 489725700, 437047700, 468395300, 487454900, 467925700, 748444600, 769833300, 379864600, 758128900]",0.049600000000000026,3
Rubella,"[348856000, 444541600, 466929600, 515901300, 729419400, 521356500, 691441000, 938376600, 887426100, 594802400]",0.049600000000000026,4
Rubella,"[309128200, 292723600, 504558200, 471737500, 636946600, 613529200, 480183200, 644329600, 739382200, 1086184400]",0.054000000000000006,5
Tetanus,"[577730200, 626351000, 633278500, 601333100, 598872900, 590040100, 596064300, 590973100, 597764600, 603248400]",0.8,1
Tetanus,"[653352900, 667872100, 697401100, 683761500, 613323200, 619211000, 686459100, 684088700, 626330200, 769020500]",0.05800000000000001,2
Tetanus,"[659194300, 635964000, 652638500, 739784300, 643542100, 702212400, 681381000, 734002400, 772251000, 598333500]",0.047600000000000024,3
Tetanus,"[640459700, 607799400, 588348500, 668037400, 721707900, 745014700, 710267300, 638613000, 774502400, 818455000]",0.055200000000000006,4
Tetanus,"[625857800, 628054700, 595755200, 659602600, 723476000, 653524000, 740095600, 687914200, 588729700, 603018600]",0.03920000000000001,5
