antigen,demands,prob,demand_SID
Diphtheria,"[570550200, 619539900, 626455400, 594496900, 595980200, 587103300, 593084700, 587954100, 594707400, 600159000]",0.8,1
Diphtheria,"[690293000, 540644300, 663354000, 1033467400, 832363600, 964285900, 1484889200, 781961600, 1006661500, 241445000]",0.0032,2
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.009200000000000003,3
Diphtheria,"[596906900, 558336500, 812533400, 660834400, 686912400, 1059413800, 1410783900, 1252908300, 953910300, 1577938400]",0.004400000000000001,4
Diphtheria,"[743387800, 718494700, 836301100, 720152500, 761304900, 1033130400, 1046414400, 1046244900, -2147483648, 1368714300]",0.009600000000000001,5
Diphtheria,"[657169600, 719313600, 616709900, 727009500, 892470100, 1120421400, 1125495800, 1246603100, -2147483648, -2147483648]",0.013600000000000001,6
Diphtheria,"[617416400, 547851100, 831060900, 903710400, 684175000, 982803900, 1204593800, 1577723900, 1843302300, -2147483648]",0.010800000000000002,7
Diphtheria,"[643986600, 606727500, 758539900, 979021300, 1103920700, 958749700, 1318512200, 1285042500, 1750789600, 1476516400]",0.008400000000000003,8
Diphtheria,"[647448500, 703413500, 807140900, 766386500, 439815400, 1006416400, 874141700, -2147483648, 1202332500, 1642560200]",0.0056000000000000025,9
Diphtheria,"[647537200, 652708500, 705878800, 810395600, 954921100, 1003027300, 936322300, -2147483648, 1020221400, -2147483648]",0.0028000000000000004,10
Diphtheria,"[705157500, 740490600, 500054800, 1158352400, 1122883700, 1033972900, 857079500, -2147483648, -2147483648, -2147483648]",0.0024000000000000002,11
Diphtheria,"[726297200, 609888200, 760089300, 607183500, 823690400, 854050900, 662076600, 843290700, 1554914300, 1661399900]",0.0068000000000000005,12
Diphtheria,"[636542700, 701558000, 896727200, 712581700, 998137700, 1061996400, 1143567400, -2147483648, -2147483648, 1692921000]",0.002,13
Diphtheria,"[656497600, 815976400, 823147400, 787443100, 1224527800, 1258847500, 1203138200, 822671200, 1699654300, -2147483648]",0.0056000000000000025,14
Diphtheria,"[712399200, 553495600, 740790300, 630528100, 1214054800, 1156185700, 890090300, 1564778400, 779735400, 1678632000]",0.008000000000000002,15
Diphtheria,"[662456400, 624185100, 765279100, 906718200, 633181400, 954851100, 1377419100, 1321865300, 1680281800, 1022723300]",0.007600000000000002,16
Diphtheria,"[659395700, 754884300, 856205600, 1059057800, 799146900, 1154180400, 927415300, 1684503300, -2147483648, 1579495100]",0.010000000000000002,17
Diphtheria,"[662493900, 755596700, 800679000, 754645900, 1109566300, 1304691600, 873448200, 1400496300, 1637908500, -2147483648]",0.008400000000000003,18
Diphtheria,"[636172000, 657104600, 735531200, 756382200, 869656700, 1409267500, 1173558300, 720467700, 1696954700, 1972857600]",0.009600000000000001,19
Diphtheria,"[708239100, 687153500, 803168200, 680875000, 1061155400, 1286450900, 1069584100, 1618539600, 1059208100, 642094600]",0.007600000000000002,20
Diphtheria,"[662771000, 811764600, 836926200, 672895500, 1048886800, 978959900, 1197526800, 1736694400, 1279245700, -2147483648]",0.0072000000000000015,21
Diphtheria,"[710079100, 828185400, 855019800, 852811000, 931093700, 755213400, 1385566000, 1317912600, 270737800, 1678045900]",0.005200000000000002,22
Diphtheria,"[727204700, 702006600, 697286300, 795308500, 850988500, 944778500, 1422378600, 1963306400, 1401635800, 1968023700]",0.0072000000000000015,23
Diphtheria,"[731822800, 751226800, 886453500, 881227500, 998945600, 838233200, 1728117600, 1502290100, -2147483648, -2147483648]",0.006000000000000003,24
Diphtheria,"[691117300, 882121800, 688431800, 910178800, 970580000, 914666000, 2023368200, 729863600, 1743912100, -2147483648]",0.004800000000000002,25
