antigen,demand,probability,demand_SID
Measles,"[462106704.7183349, 405129497.72041595, 446041295.6285298, 390981439.36283135, 426539784.58731925, 460337148.10740346, 306727296.81849533, 436731998.3720391, 328195759.5306394, 369195193.44402045]",1.0,15
Mumps,"[393064435.93468, 286956701.97978944, 344130813.2957177, 312806925.6531164, 329135055.5071284, 436677283.36823374, 292676573.602573, 435715596.66097623, 327152506.2990134, 368120216.99722105]",1.0,15
Rubella,"[364407064.36085206, 256876859.39176497, 315001018.67262787, 284261552.47145045, 302546163.9340565, 418370024.93290263, 271607183.25893605, 425650388.2678499, 315043862.1860474, 353459355.9244355]",1.0,15
Diphtheria,"[627605167.5341957, 699894242.656317, 707706666.2677314, 671603164.3407953, 673278834.1033714, 663250548.9482862, 670007806.4138889, 664538035.0024765, 672170828.6674914, 678332758.4465755]",1.0,15
Tetanus,"[635503201.3588126, 707588674.3012348, 715414697.2027495, 679325976.2719059, 676546692.2347426, 666568321.0459261, 673373830.5008144, 667948624.9165411, 675624602.5690694, 681822932.8995073]",1.0,15
Pertussis,"[352729015.9285278, 392473622.52301824, 398179233.3630057, 379553271.4698189, 378285986.3964271, 370582061.7921339, 374199001.34002286, 371216861.7218114, 374782789.4587666, 378005422.329758]",1.0,15
Hepatitis_B,"[65452807.35849488, 75491927.19092083, 80151795.68885131, 75830368.13005677, 74928626.989041, 73012503.53461537, 73958635.70816398, 72423687.08542259, 73295213.83343838, 73713751.9537037]",1.0,15
Hib,"[574400209.7812592, 657691324.2713125, 687571304.8833224, 667302025.1841129, 668492630.1442233, 646756622.8222166, 147792015.7020401, 145511084.3088999, 148102881.5380764, 150533543.58842552]",1.0,15
Polio,"[574400209.7812592, 657691324.2713125, 687571304.8833224, 667302025.1841129, 668492630.1442233, 646756622.8222166, 147792015.7020401, 145511084.3088999, 148102881.5380764, 150533543.58842552]",1.0,15
HPV,"[20887030.693470944, 21215579.443985756, 31021535.579924423, 82298065.906907, 104689982.69670792, 73095853.18725336, 47715110.29056923, 47863620.11259861, 38105308.41934186, 39583044.284149244]",1.0,15
Rotavirus,"[156726903.70456493, 188007026.86705914, 196286951.38397205, 210495159.49462786, 223305864.52503276, 232325433.39732584, 236731848.35854685, 234249564.95875502, 236792223.34878412, 239273665.88748363]",1.0,15
PCV,"[176880256.33290988, 211249490.27304006, 236294226.82349482, 232648668.40000764, 249662195.73570994, 247524705.3642445, 251099680.20431584, 245523995.12904853, 247138335.60466784, 248798633.50933507]",1.0,15
